attack,attacker_seed,identity_cosine_similarity,knowledge,lpips,mae,mse,path,psnr,ssim,target_seed
decoder,20125,0.3732708184089353,training,0.31409464788088565,0.11641559182841336,0.026065455909327146,results/dual_path_publication/attacks/target_seed128/attacker_seed20125/decoder_training/attack_metrics.json,16.640171899029223,0.5476159928441735,128
decoder,30125,0.38711831145266395,training,0.2981648516627469,0.11825913763284591,0.026792444150661426,results/dual_path_publication/attacks/target_seed128/attacker_seed30125/decoder_training/attack_metrics.json,16.53813232515739,0.5480076597361141,128
decoder,10125,0.07572325823213433,inference,0.5294834750720957,0.14898840512928366,0.03635416625553686,results/dual_path_publication/attacks/target_seed128/attacker_seed10125/decoder_inference/attack_metrics.json,14.89207913088193,0.4520351653653351,128
decoder,20125,0.09390886055679852,inference,0.513539661527873,0.1480295226792357,0.03644241747074259,results/dual_path_publication/attacks/target_seed128/attacker_seed20125/decoder_inference/attack_metrics.json,14.881762638928985,0.45012804579055704,128
decoder,30125,0.05846204823764863,inference,0.5354953851031744,0.1510428736263096,0.03740492630592211,results/dual_path_publication/attacks/target_seed128/attacker_seed30125/decoder_inference/attack_metrics.json,14.774170297765108,0.4460777417800352,128
gan,10125,0.23930675883514976,training,0.35612607704406063,0.13066917589562346,0.03207671390226922,results/dual_path_publication/attacks/target_seed128/attacker_seed10125/gan_training/attack_metrics.json,15.523414878742551,0.47063683931848627,128
gan,20125,0.196347302558192,training,0.2803550564752364,0.1260261325916846,0.030760086833949457,results/dual_path_publication/attacks/target_seed128/attacker_seed20125/gan_training/attack_metrics.json,15.833021779483852,0.47308066667661625,128
gan,30125,0.23355425167707056,training,0.3533536201896506,0.13062337400912322,0.030881962781683935,results/dual_path_publication/attacks/target_seed128/attacker_seed30125/gan_training/attack_metrics.json,15.74825928954609,0.47719971313241905,128
gan,10125,0.07508209175656078,inference,0.5635230612809884,0.15454181439147904,0.038419209965565644,results/dual_path_publication/attacks/target_seed128/attacker_seed10125/gan_inference/attack_metrics.json,14.57747433422344,0.4246991974652226,128
gan,20125,0.06817506844489,inference,0.5180194023666793,0.15257247325729825,0.03882743176173209,results/dual_path_publication/attacks/target_seed128/attacker_seed20125/gan_inference/attack_metrics.json,14.574270810779927,0.4178657267440549,128
gan,30125,0.05826975768855024,inference,0.5522180194575755,0.1613835458850934,0.04198550480526168,results/dual_path_publication/attacks/target_seed128/attacker_seed30125/gan_inference/attack_metrics.json,14.22102131597623,0.3956890326449282,128
adaptive,10125,0.3653823283487721,training,0.3202749115189696,0.1187580715826226,0.02717465756719546,results/dual_path_publication/attacks/target_seed128/attacker_seed10125/adaptive_training/attack_metrics.json,16.4774146925161,0.5444316308161975,128
adaptive,10125,0.07228080376558253,inference,0.5535254063653983,0.15202754125675852,0.03727790334758802,results/dual_path_publication/attacks/target_seed128/attacker_seed10125/adaptive_inference/attack_metrics.json,14.760743503115378,0.4408350262484062,128
decoder,10125,0.2851776058515279,training,0.38413767391147635,0.12016638668167368,0.026442487732074388,results/dual_path_publication/attacks/target_seed129/attacker_seed10125/decoder_training/attack_metrics.json,16.448742070357554,0.5209874869951235,129
decoder,20125,0.3423452809241037,training,0.336869275226175,0.11774759992917012,0.026340684630420746,results/dual_path_publication/attacks/target_seed129/attacker_seed20125/decoder_training/attack_metrics.json,16.569287447285898,0.5355444028532447,129
decoder,30125,0.3221214913350259,training,0.35101220975331,0.11958976769071504,0.026953881742953337,results/dual_path_publication/attacks/target_seed129/attacker_seed30125/decoder_training/attack_metrics.json,16.442444894241394,0.5337014461929456,129
decoder,10125,0.05988922515587223,inference,0.5587024174808447,0.15001983583845296,0.03667755472008497,results/dual_path_publication/attacks/target_seed129/attacker_seed10125/decoder_inference/attack_metrics.json,14.816779508877019,0.4453881596307556,129
decoder,20125,0.06412645593985307,inference,0.5507652100643073,0.14939848068037612,0.03671608382321211,results/dual_path_publication/attacks/target_seed129/attacker_seed20125/decoder_inference/attack_metrics.json,14.787508758239511,0.4498173315035003,129
decoder,30125,0.03904142812915359,inference,0.5749290413449047,0.15303649197549798,0.03776096471738045,results/dual_path_publication/attacks/target_seed129/attacker_seed30125/decoder_inference/attack_metrics.json,14.676402596348153,0.43727204026948313,129
gan,10125,0.09019704574532161,training,0.5317218086802927,0.13544847429004922,0.031990927029279324,results/dual_path_publication/attacks/target_seed129/attacker_seed10125/gan_training/attack_metrics.json,15.485118441524895,0.4227173731538801,129
gan,20125,0.3048522315635813,training,0.3502439464435629,0.12038864640261933,0.027359653885022622,results/dual_path_publication/attacks/target_seed129/attacker_seed20125/gan_training/attack_metrics.json,16.374138045613464,0.5217641077331284,129
gan,30125,0.1860467675372941,training,0.34290236693444226,0.13509194382517578,0.03382864658395312,results/dual_path_publication/attacks/target_seed129/attacker_seed30125/gan_training/attack_metrics.json,15.298082487054259,0.4331424254080462,129
gan,10125,0.08442755384202917,inference,0.47502786402889546,0.15655072970606898,0.040023531704521616,results/dual_path_publication/attacks/target_seed129/attacker_seed10125/gan_inference/attack_metrics.json,14.421036577114608,0.39196283987983543,129
gan,20125,0.05762162623357736,inference,0.6013447891482029,0.15639097934690596,0.0403883829770224,results/dual_path_publication/attacks/target_seed129/attacker_seed20125/gan_inference/attack_metrics.json,14.397147069260008,0.415436677881348,129
gan,30125,0.05859666168001452,inference,0.5596377965209115,0.1549642737596378,0.040424730155539566,results/dual_path_publication/attacks/target_seed129/attacker_seed30125/gan_inference/attack_metrics.json,14.444890375408969,0.4298825047399743,129
adaptive,10125,0.3292716542925573,training,0.35761737874818283,0.11925294209516585,0.026580179677198414,results/dual_path_publication/attacks/target_seed129/attacker_seed10125/adaptive_training/attack_metrics.json,16.478614839394705,0.5336409460622867,129
adaptive,10125,0.04413886029872644,inference,0.5849635511109056,0.15176172528109064,0.03681025016849274,results/dual_path_publication/attacks/target_seed129/attacker_seed10125/adaptive_inference/attack_metrics.json,14.76960962308747,0.44012789472972,129
decoder,10125,0.3422781363857201,training,0.3366120910057881,0.11816346264948803,0.026407130687615358,results/dual_path_publication/attacks/target_seed130/attacker_seed10125/decoder_training/attack_metrics.json,16.561555238670223,0.5387696380204579,130
decoder,20125,0.3168047695607233,training,0.35711918896503153,0.11866368957777658,0.02618943500042145,results/dual_path_publication/attacks/target_seed130/attacker_seed20125/decoder_training/attack_metrics.json,16.538279372717223,0.5282202961535601,130
decoder,30125,0.34497742497063927,training,0.33371623331471073,0.11868201200433165,0.02690800150189662,results/dual_path_publication/attacks/target_seed130/attacker_seed30125/decoder_training/attack_metrics.json,16.466552246281477,0.5395556797847433,130
decoder,10125,0.06350705878747435,inference,0.5500929834660978,0.1509457398048266,0.03685157275181536,results/dual_path_publication/attacks/target_seed130/attacker_seed10125/decoder_inference/attack_metrics.json,14.822288178406467,0.44502352860636485,130
decoder,20125,0.05820311354709828,inference,0.5741458273190916,0.1522768591806648,0.037722016041603704,results/dual_path_publication/attacks/target_seed130/attacker_seed20125/decoder_inference/attack_metrics.json,14.743420607498557,0.442190186439614,130
decoder,30125,0.03985913888227949,inference,0.5682250706391485,0.15352832656167303,0.03769540529787036,results/dual_path_publication/attacks/target_seed130/attacker_seed30125/decoder_inference/attack_metrics.json,14.726915836701309,0.440821611670185,130
gan,10125,0.3155116420395326,training,0.33194967033037176,0.12032697414352729,0.027737097390016105,results/dual_path_publication/attacks/target_seed130/attacker_seed10125/gan_training/attack_metrics.json,16.348453194084005,0.5246057406978761,130
gan,20125,0.1310604630777901,training,0.45165084492743174,0.13599529215025472,0.0330344842883634,results/dual_path_publication/attacks/target_seed130/attacker_seed20125/gan_training/attack_metrics.json,15.297673652411333,0.3944203635996371,130
gan,30125,0.274274898941175,training,0.3009055795049906,0.1277337268974542,0.03135555807052783,results/dual_path_publication/attacks/target_seed130/attacker_seed30125/gan_training/attack_metrics.json,15.75732279201509,0.4912286467297358,130
gan,10125,0.06691869320183007,inference,0.6043989667532718,0.15758239387823492,0.04082826029988231,results/dual_path_publication/attacks/target_seed130/attacker_seed10125/gan_inference/attack_metrics.json,14.40615959842908,0.39451999091661555,130
gan,20125,0.039242771976814535,inference,0.591596596051951,0.15756591785128435,0.03954805861627991,results/dual_path_publication/attacks/target_seed130/attacker_seed20125/gan_inference/attack_metrics.json,14.491677041233642,0.4223930999074559,130
gan,30125,0.020009046201067218,inference,0.5923679577928033,0.15678990153370684,0.040113714128572085,results/dual_path_publication/attacks/target_seed130/attacker_seed30125/gan_inference/attack_metrics.json,14.448675212904156,0.42416084060492754,130
adaptive,10125,0.3335382463747793,training,0.3533218841376739,0.11877160165824141,0.02685981451296339,results/dual_path_publication/attacks/target_seed130/attacker_seed10125/adaptive_training/attack_metrics.json,16.47044492352701,0.5347153349410383,130
adaptive,10125,0.08173792723787116,inference,0.5584832735480116,0.15223747147698877,0.03864877016568202,results/dual_path_publication/attacks/target_seed130/attacker_seed10125/adaptive_inference/attack_metrics.json,14.646330448000866,0.4416825703421953,130
