target_seed,evaluation_seed,fused_accuracy,legacy_accuracy,semantic_accuracy,fused_loss,semantic_weight
126,100126,0.8156862745098039,0.5787773933102652,0.742560553633218,1.0283014697187087,0.6374853253364563
126,100127,0.8179930795847751,0.5898500576701269,0.7400230680507497,1.0254416734977028,0.6374853253364563
126,100128,0.8189158016147635,0.5859284890426759,0.7397923875432526,1.0283991063617368,0.6374853253364563
127,100127,0.8205305651672433,0.5926182237600923,0.7467128027681661,1.0250159330709032,0.6300367712974548
127,100128,0.8179930795847751,0.5891580161476355,0.7439446366782007,1.024941478881044,0.6300367712974548
127,100129,0.8154555940023068,0.5958477508650519,0.7453287197231834,1.0288519189569503,0.6300367712974548
128,100128,0.8184544405997694,0.582006920415225,0.7437139561707036,1.0223564024202552,0.6203234791755676
128,100129,0.8196078431372549,0.5889273356401384,0.746482122260669,1.0259986607948663,0.6203234791755676
128,100130,0.8191464821222607,0.586159169550173,0.746482122260669,1.0139037805307558,0.6203234791755676
129,100129,0.8221453287197232,0.5829296424452134,0.7587081891580162,1.034484374179422,0.6513007879257202
129,100130,0.8249134948096886,0.5826989619377163,0.7594002306805075,1.0236882800049436,0.6513007879257202
129,100131,0.8198385236447521,0.592156862745098,0.7582468281430219,1.0352686017992312,0.6513007879257202
130,100130,0.8221453287197232,0.5910034602076124,0.7480968858131488,1.0163115601638608,0.638235330581665
130,100131,0.8209919261822376,0.5875432525951557,0.746482122260669,1.017769494188698,0.638235330581665
130,100132,0.8196078431372549,0.5776239907727797,0.7467128027681661,1.0206307835232429,0.638235330581665
