method,target_seed,evaluation_seed,fused_accuracy,legacy_accuracy,semantic_accuracy,fused_loss,semantic_weight
capacity_matched,126,100126,0.7847750865051903,0.36401384083044985,0.7337946943483276,1.625056073547372,0.5892528295516968
capacity_matched,126,100127,0.7790080738177624,0.3570934256055363,0.732641291810842,1.6399878547815854,0.5892528295516968
capacity_matched,126,100128,0.7748558246828143,0.35478662053056514,0.7324106113033448,1.6348982086368635,0.5892528295516968
capacity_matched,127,100127,0.768396770472895,0.3570934256055363,0.730565167243368,1.6797718738877099,0.5759009718894958
capacity_matched,127,100128,0.7656286043829297,0.35478662053056514,0.7303344867358709,1.673962312751163,0.5759009718894958
capacity_matched,127,100129,0.7665513264129181,0.35478662053056514,0.7310265282583621,1.6770350066023303,0.5759009718894958
capacity_matched,128,100128,0.768396770472895,0.35478662053056514,0.7310265282583621,1.6948929283720675,0.5702009201049805
capacity_matched,128,100129,0.764475201845444,0.35478662053056514,0.7298731257208766,1.6951882695656746,0.5702009201049805
capacity_matched,128,100130,0.766320645905421,0.3596309111880046,0.7314878892733564,1.6895848736218515,0.5702009201049805
capacity_matched,129,100129,0.7829296424452133,0.35478662053056514,0.7439446366782007,1.5997779984512681,0.601708710193634
capacity_matched,129,100130,0.7778546712802769,0.3596309111880046,0.742560553633218,1.5909938812805844,0.601708710193634
capacity_matched,129,100131,0.7856978085351788,0.352479815455594,0.7432525951557093,1.6041923658520567,0.601708710193634
capacity_matched,130,100130,0.7746251441753171,0.3596309111880046,0.7340253748558246,1.639018950330345,0.5775675177574158
capacity_matched,130,100131,0.7750865051903114,0.352479815455594,0.7344867358708189,1.6536244114652499,0.5775675177574158
capacity_matched,130,100132,0.7746251441753171,0.348558246828143,0.7321799307958478,1.6559253268588372,0.5775675177574158
resnet18,126,100126,0.8502883506343714,0.5688581314878892,0.8343713956170704,0.92321455858158,0.7632617950439453
resnet18,126,100127,0.8507497116493656,0.5690888119953864,0.833679354094579,0.9280575626724181,0.7632617950439453
resnet18,126,100128,0.8505190311418686,0.5734717416378317,0.8350634371395617,0.9265138465915447,0.7632617950439453
resnet18,127,100127,0.8505190311418686,0.5550173010380622,0.83760092272203,0.9209117795494326,0.7710250020027161
resnet18,127,100128,0.8535178777393311,0.5589388696655133,0.8371395617070357,0.9156598556275461,0.7710250020027161
resnet18,127,100129,0.8500576701268743,0.566551326412918,0.8366782006920416,0.9193626508030787,0.7710250020027161
resnet18,128,100128,0.8546712802768166,0.5746251441753172,0.8355247981545559,0.9173525897689344,0.7309156060218811
resnet18,128,100129,0.8505190311418686,0.5785467128027681,0.835755478662053,0.9206041416769897,0.7309156060218811
resnet18,128,100130,0.8537485582468282,0.5838523644752018,0.8364475201845444,0.9173880283532808,0.7309156060218811
