attack,attacker_seed,knowledge,method,mse,path,target_seed
gan,30125,inference,resnet18,0.041713476364570366,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed30125/gan_inference/attack_metrics.json,126
decoder,10125,training,resnet18,0.025762154367601625,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed10125/decoder_training/attack_metrics.json,127
decoder,20125,training,resnet18,0.02554482167063195,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed20125/decoder_training/attack_metrics.json,127
decoder,30125,training,resnet18,0.025665101158027694,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed30125/decoder_training/attack_metrics.json,127
decoder,10125,inference,resnet18,0.03909293718756484,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed10125/decoder_inference/attack_metrics.json,127
decoder,20125,inference,resnet18,0.03894173612587263,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed20125/decoder_inference/attack_metrics.json,127
decoder,30125,inference,resnet18,0.038918528582519346,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed30125/decoder_inference/attack_metrics.json,127
gan,10125,training,resnet18,0.03707721795269454,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed10125/gan_training/attack_metrics.json,127
gan,20125,training,resnet18,0.03069011606834614,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed20125/gan_training/attack_metrics.json,127
gan,30125,training,resnet18,0.030344474503554916,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed30125/gan_training/attack_metrics.json,127
gan,10125,inference,resnet18,0.04583225844914038,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed10125/gan_inference/attack_metrics.json,127
gan,20125,inference,resnet18,0.04384421164297525,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed20125/gan_inference/attack_metrics.json,127
gan,30125,inference,resnet18,0.04165700254667897,results/dual_path_supplementary/resnet18/attacks/target_seed127/attacker_seed30125/gan_inference/attack_metrics.json,127
decoder,10125,training,resnet18,0.02592010399049541,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed10125/decoder_training/attack_metrics.json,128
decoder,20125,training,resnet18,0.02598574446605197,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed20125/decoder_training/attack_metrics.json,128
decoder,30125,training,resnet18,0.025703712134854423,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed30125/decoder_training/attack_metrics.json,128
decoder,10125,inference,resnet18,0.037730816421919916,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed10125/decoder_inference/attack_metrics.json,128
decoder,20125,inference,resnet18,0.036186779894399314,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed20125/decoder_inference/attack_metrics.json,128
decoder,30125,inference,resnet18,0.039316571245200826,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed30125/decoder_inference/attack_metrics.json,128
gan,10125,training,resnet18,0.02854541032784538,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed10125/gan_training/attack_metrics.json,128
gan,20125,training,resnet18,0.02987301550384486,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed20125/gan_training/attack_metrics.json,128
gan,30125,training,resnet18,0.030632314935000026,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed30125/gan_training/attack_metrics.json,128
gan,10125,inference,resnet18,0.042246912515007416,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed10125/gan_inference/attack_metrics.json,128
gan,20125,inference,resnet18,0.04303713410152115,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed20125/gan_inference/attack_metrics.json,128
gan,30125,inference,resnet18,0.04341947013731642,results/dual_path_supplementary/resnet18/attacks/target_seed128/attacker_seed30125/gan_inference/attack_metrics.json,128
